Sentence,Labels
are horny,"Family & relationship, Personality"
aren't competition,Ability
are a mess,"Health, Personality"
are judged,"Crime, Morality, Mistreatment"
are peices of shit,Swear words
point fingers at others when they have done the same,"Morality, Mistreatment, Personality"
should cover up their bodies,"Family & relationship, Appearance"
advertise their bodies,"Family & relationship, Morality"
are sissies/girly,"Family & relationship, Personality"
have a violent culture,Culture
are small minded,Ability
will rob you,Crime
is acceptable to joke about dying from als,"Health, Belief, Morality"
are meant to stay at home,"Ability, Social status, Mistreatment"
who are southern tend to be racist,Social status
will grow up to be criminals,Crime
should fear mean,Personality
can be kidnapped and owned,Mistreatment
are not concerned with helping them,"Morality, Mistreatment"
are not good at teaching,Ability
trick people,Morality
were meant to die,Mistreatment
will die much sooner than most,Health
isn't perfect,Personality
are not sold on ebay,"Social status, Mistreatment"
isn't healthy,Health
aren't good alive,Social status
inordinately want to steal others' bikes,Crime
with downs all look alike,Appearance
don't have medicine,Financial status
should be made to sit in the back,Mistreatment
don't have lives,"Family & relationship, Financial status, Social status"
eat anything,Personality
are gross for having anal sex,Family & relationship
with small breasts aren't worthy of attention,Appearance
sleep with family members,Family & relationship
are trained to kill,Crime
are always blowing things up,"Ability, Social status"
physically sometimes shake,Health
always arrive illegally,Crime
cannot make up their mind,Ability
have a lot of genders,"Family & relationship, Belief, Social status"
should be dominated,"Social status, Mistreatment, Personality"
have a lot of gangs,Crime
get their nipples pierced,"Family & relationship, Appearance"
only think about sex,Family & relationship
with epilepsy are funny,Health
trivializes taking advantage of mentally challenged people,Morality
are bad pilots,Ability
may be gassed,Mistreatment
are still forced to sit in the back of the bus,Mistreatment
shouldn't pursue academic degrees,Mistreatment
look like skeletons,Appearance
is acceptable to joke about assaulting children,"Morality, Mistreatment"
can be discarded,Mistreatment
is a disappointment,"Ability, Mistreatment"
can't have real sex,Family & relationship
is uncomfortable,Mistreatment
giving birth is a disgusting act,"Family & relationship, Mistreatment"
get bombed a lot,Mistreatment
wanted the assault,Crime
marry underage girls,Family & relationship
all want to blow things up,Crime
are sick people,Health
are all misbehaved,Personality
with anorexia can die,"Health, Mistreatment"
can't work in the male sports industry,Mistreatment
can't be in the military,Mistreatment
can't be in the male sports industry,Mistreatment
shouldn't involve themselves in men's hobbies,"Family & relationship, Social status, Mistreatment"
have low self esteem,Personality
makes things worse for people,Ability
are only good for their bodies,"Health, Ability, Social status"
need to be killed in a microwave,Mistreatment
should be presumed guilty,"Crime, Morality, Mistreatment"
"have lower jobs, such as janitors",Social status
support hitler,Belief
can take many dicks,Family & relationship
find sheep sexy,Family & relationship
do not have cars,Financial status
are still condemned,Morality
treat animals cruelly,"Crime, Morality"
don't want a relationship with wo unless sex is involved,Family & relationship
can be used,Mistreatment
are meant to be harmed physically,Mistreatment
don't think rationally,"Ability, Personality"
will die from their illness,Health
aren't part of a family,Family & relationship
are too demanding,Personality
are despicable,Personality
and latinos aren't as qualified as others,Ability
have crooked teeth,Appearance
do not want their kids a different color,Belief
are suicidal,"Health, Personality"
dont deserve choice,Mistreatment
receive handouts for their skin color,Financial status
need to lose weight,Appearance
deserve the job more,Ability
are short,Appearance
should be permitted to only one gender,"Family & relationship, Belief"
only rap,"Crime, Ability"
are contradictory,Personality
of color aren't reallly american,"Appearance, Social status, Mistreatment"
have rhyming names,Culture
are satanists,Belief
are always dominant,Personality
are misbehaved,Personality
are abusing the system,Morality
were attacked,Mistreatment
allow rapists,Morality
are devious,Personality
use makeup to trick men,"Family & relationship, Morality"
want white kids,"Belief, Appearance, Social status"
should be happy for slavery,Mistreatment
have all the taxi jobs,Social status
are smug,Personality
doesn't belong in europe,Social status
should stay away from white spaces,Social status
do strange things,"Morality, Ability, Personality"
are scumbags,"Morality, Swear words, Personality"
cause problems for the countries they go to,Social status
infiltrate cities,"Morality, Social status"
hurt the us,"Crime, Swear words"
damage men,Crime
should receive no consideration,Mistreatment
who are prostitutes should be killed,Mistreatment
are spoiled,Personality
plot against men,"Family & relationship, Morality"
claim to be lonely,Personality
can't find partners,Family & relationship
get what they want,Morality
should be discarded,Mistreatment
hate sexually active people,Family & relationship
only assault,Crime
should be abandoned,Mistreatment
force women to be with them,Family & relationship
ruin anything good a man has,"Morality, Personality"
wear dresses,Appearance
are insecure,Personality
have unrealistic expectations of men,Family & relationship
should not be helped,Mistreatment
are are all narcissists,Personality
have social benefits that they don't deserve,Mistreatment
nukes people,Crime
were separated from family,Family & relationship
are food,Mistreatment
is engaged in terrorism,Crime
can do anything for money,Financial status
but 's obviously intended to be racist,Personality
don't know how to write,Ability
don't deserve land,Mistreatment
break into things,"Crime, Morality, Personality"
can't handle cars,Ability
should not be allowed to vote,Social status
don't care about their environment,Morality
dress trashy,Appearance
shouldn't be in certain areas,"Social status, Mistreatment"
should sacrifice things and not fight for equality,Mistreatment
infest big cities,Social status
should be looked down on,Mistreatment
are bad influences on white kids,Social status
shouldn't be around other people,"Mistreatment, Personality"
try to suppress other races,Morality
would be better off without homosexuals,Family & relationship
hate westerners,Mistreatment
try to come to the us,Social status
have a high child mortality rate,"Financial status, Social status"
of color make society worse,Social status
are all armed,Crime
have to resort to prostitution,Social status
are dispensable,"Social status, Mistreatment"
need to make up their minds,Personality
are not involved in family,Family & relationship
are reduced to sexual acts only,Family & relationship
have dirty shoes,Appearance
can be harrassed,Mistreatment
believe in false information,Ability
are unaware of other races,"Ability, Personality"
do not take things seriously,Personality
can be called a lot of names,Culture
will have sex with daughters,Family & relationship
are responsible for sexual harassment at rates similar to men,"Family & relationship, Social status, Mistreatment"
deserves rejection,"Ability, Mistreatment, Personality"
are only interested in physical attraction,"Family & relationship, Morality, Appearance"
are scaredy cats,Personality
will go to hell,"Morality, Swear words"
took over london,Crime
don't treat people well,"Morality, Personality"
doesn't have a good status socially,Social status
are always doing odd sex stuff,Family & relationship
wear skimpy clothing,Appearance
shouldn't get job interviews,Ability
are college educated,Ability
will get shot up,Mistreatment
don't belong in the future,"Ability, Social status, Swear words"
makes a joke about abortions,Morality
don't care about children,Family & relationship
like having sex from behind,Family & relationship
should be punched by americans,"Social status, Mistreatment"
are all about school shootings,Crime
should be stared at,Mistreatment
are weird for liking video games,Personality
need to be pretty,"Appearance, Social status"
can't be racists with whites around,"Social status, Personality"
are okay to beat,Mistreatment
are cunning,Personality
play the racism card a lot,Morality
don't act real,Personality
who sleep around are always going to be trash,Family & relationship
force women to be fucked,Crime
are immature,Personality
believe in conspiracy theories,Belief
makes the world a worse place,Social status
often grow long beards,Appearance
feel too many emotions,Personality
are pets,Mistreatment
play victim when they are wrong,Personality
are 'butch',"Family & relationship, Appearance"
make bad music,Ability
is better without gay people,Family & relationship
act entitled,Personality
don't stand up to their beliefs,Belief
are intolerant of other ideas,Personality
is perverse,Personality
was a joke,"Ability, Social status, Mistreatment, Swear words"
touch kids,Crime
need to be hit,Mistreatment
are dumb and need men to do everything for them,Ability
dying is a good thing,"Health, Social status, Mistreatment, Personality"
may be gased,Mistreatment
are going to attack again,Crime
condone beastiality,Crime
are prone to life threatening illness,Health
were ran over with tanks during the vietnam war,"Crime, Mistreatment"
can be forced to have abortion,Mistreatment
can be beaten,"Ability, Mistreatment"
get deported,Crime
don't value the right things,"Belief, Morality, Personality"
should be hit if they aren't listening,Mistreatment
wants to look like a mexican,Appearance
are ok to have sex with,Family & relationship
are destructive,Personality
don't take care of their guns,Personality
make bad decisions,Ability
struggle with machinery,Ability
didn't kill enough people,Crime
who self harm are losers,Health
unfairly ignore men,"Morality, Mistreatment, Personality"
are used for work,Mistreatment
is okay to force women into sex,Family & relationship
hold extremist views,Belief
is in the home,Family & relationship
should be afraid to get hit,Mistreatment
are as smart as animals,Ability
are easily replaced,Ability
are chocolate,"Appearance, Social status, Mistreatment"
are bad to live near,Social status
have a victim mentality,Personality
are only for working,"Ability, Social status, Mistreatment"
doesnt work a job,Ability
have a bad language,"Social status, Culture, Personality"
gets bombed a lot,Mistreatment
were killed after settlers arrived in america,Mistreatment
are assholes,Swear words
spend a lot,Personality
are more useful when they are dead since they can't annoy anyone,"Swear words, Ability, Social status, Personality"
don't know how to care for things,"Ability, Personality"
need to be brought down to ugly people level,"Appearance, Social status"
black people are untrusting of whites,Personality
shouldn't be angry,Personality
of blacks steal together,"Crime, Morality, Social status, Mistreatment"
speak in slang,"Social status, Culture"
want inequality,"Belief, Morality"
have dark skin so they must love chocolate,Appearance
takes a shot at african americans over slavery in the 1800's,Crime
is pushy,Personality
should give men attention,Family & relationship
cause men to be sick of them,Family & relationship
are undeserving of their accomplishments,"Morality, Ability, Mistreatment, Personality"
should be in a relationship with men,Family & relationship
run the media,"Financial status, Social status"
should stay in female spaces,"Family & relationship, Social status, Mistreatment"
are demanding,Personality
are poor communicators,"Ability, Personality"
can't entertain,Ability
sleep with men to get ahead,Family & relationship
condone sexual violence,"Family & relationship, Crime, Mistreatment"
resemble whales,Appearance
is comedic fodder,"Mistreatment, Personality"
lose friends during mass shootings,"Crime, Mistreatment"
expect certain things,Personality
are bad with money,Financial status
cheat the system,Morality
prefer children as brides,"Family & relationship, Crime"
are threatening,"Health, Crime, Mistreatment"
are overcrowded,Social status
have sex in the shower,Family & relationship
need to work harder,Ability
are virgins,Family & relationship
is incapable of independence/movement,Ability
with mental disorders can't speak proficiently,Health
engages in anal sex consistently,Family & relationship
were killed by guns at columbine high school,Mistreatment
are overlooked,"Ability, Mistreatment, Personality"
has stereotype of taking advantage of others for their benefit,"Social status, Personality"
are damaged goods,"Health, Swear words, Social status"
are not individuals,Social status
only exist to have families,Family & relationship
are dictators,Personality
should only be attracted to one gender,"Family & relationship, Belief, Social status"
have to shave,Appearance
are only book smart,Ability
can't be gender neutral,Belief
scare other people,"Crime, Mistreatment, Personality"
who dress in revealing clothes are asking for it,Appearance
are not good engineers,Ability
of color are exotic sex objects,Family & relationship
"who dress a certain way are ""asking for it'",Appearance
are bad boyfriends,Personality
are out to take advantage of others,Personality
always have crooked faces,"Appearance, Personality"
don't care about human life,"Belief, Personality"
aren't worth defending,Social status
matter activists are violent,"Crime, Personality"
want to take away guns from the people,Crime
try to win arguments,Personality
are too opinionated,Personality
have corrupt sexual tendencies,"Family & relationship, Personality"
should stay out of some areas,Social status
and white folks cannot interact peacefully,Social status
don't know how to act,Ability
do not want to mix with current culture,Culture
care too much,"Mistreatment, Personality"
should be professionals,Ability
take resources from citizens,"Morality, Social status, Mistreatment"
should stick to their own kind,"Family & relationship, Social status, Personality"
wants people to go to people on the streets and preach white nationalism,Belief
are out to trick others,Personality
isn't important,Social status
don't get the same privileges,"Social status, Mistreatment"
lower house values,Financial status
devalue their surroundings,"Social status, Mistreatment, Personality"
should be virgins,"Family & relationship, Belief, Social status"
all suck,"Swear words, Ability, Personality"
are favored,Personality
are full of themselves,Personality
hate nice guys,Personality
will never find a partner,"Family & relationship, Ability, Social status, Personality"
will never die,Health
tease men,Personality
were hopeless,Personality
get into arguments,Personality
do not like to be wrong,Personality
can't find someone that wants to have sex with them,"Family & relationship, Ability, Social status"
will not find happiness,"Morality, Social status, Personality"
have no chance of living a good life,Social status
are scheming against men,"Belief, Morality, Personality"
don't have the dna to get lonely,Personality
trick men with makeup,Appearance
are elitists,"Belief, Personality"
are up to no good,"Morality, Personality"
have infections,Health
steal tvs,Crime
keep other races down,"Belief, Swear words"
all die young because of violence,"Health, Crime, Mistreatment"
"are so thin, makes fun of their need for food","Health, Morality, Mistreatment, Financial status"
will enjoy raping assault victims,Crime
all open small shops on corners wherever they go,Financial status
is punishing black folks,"Belief, Swear words, Mistreatment"
exist only to be mothers,Social status
don't like children,"Family & relationship, Personality"
are regressive,Health
is a joke not worthy of consideration,"Social status, Personality"
won't listen,Personality
stereotyped as praising terrorism,"Belief, Social status"
like things in their butt,"Family & relationship, Swear words"
are difficult to work with,Personality
shouldn't speak spanish,Social status
has nothing good/positive about it,"Ability, Social status, Personality"
have non-true beliefs,"Belief, Social status, Personality"
are crackheads,"Health, Social status, Personality"
should lose the right to vote because they're irrational,"Social status, Personality"
depend on white people,Social status
should be excluded from certain areas,"Ability, Social status"
control london,"Crime, Social status"
don't go on dates,Family & relationship
are crack heads,"Health, Crime, Morality, Social status"
are poisonous,"Health, Personality"
hang out in groups,Personality
worship satan,Belief
was a good way to eliminate the jews,Crime
have trouble when haing sex,Family & relationship
don't make good pilots,Ability
would make a good punching bag,Mistreatment
were meant to be killed off,Mistreatment
stand in the back,Personality
make inferior comedians,"Morality, Ability"
complain about inequalities,Mistreatment
are tech savvy,Ability
come from monkeys,"Appearance, Social status"
live in tepees,"Financial status, Social status"
get hit often,Mistreatment
are kid touchers,Crime
have sex at church,"Family & relationship, Morality"
aren't handy,Ability
that do not speak english should not be accepted,"Ability, Social status"
are sissies,"Swear words, Social status, Personality"
are effeminate,"Swear words, Social status, Personality"
are out to fool you,"Mistreatment, Personality"
are pushing propaganda,Ability
are running the country,Social status
are cunnings,"Crime, Morality, Personality"
trick men,"Crime, Morality, Personality"
all sleep around,"Family & relationship, Morality, Social status, Personality"
promotes violence,"Crime, Belief"
should just be pretty,Appearance
can't be friends,Personality
can hide easily at night,Appearance
should stick to black people roles in movies,Social status
have no value without a man,Social status
is a detriment,"Ability, Personality"
can't eat bacon,Ability
was assassinated,Mistreatment
are all con artists,"Crime, Morality, Ability, Personality"
will kill anyone,Crime
is no longer important,"Belief, Social status"
are good at dancing and music,Ability
are quick tempered,Personality
are pale,"Health, Personality"
can't own anything legally,Social status
are mens play thing,Family & relationship
prone to promiscutiy,"Family & relationship, Morality, Personality"
have no power to change men,Ability
should learn after being hit,Mistreatment
cannot own guns,Social status
run people over,Crime
are crminals,Crime
are hunters,Ability
is victims of incest,"Family & relationship, Crime, Morality, Mistreatment"
suffer large number of childhood deaths,"Health, Crime"
does not eat meat,Belief
are vermin,Personality
is susceptible to pedophilia,Crime
won't be faithful,"Morality, Social status, Personality"
are basic,Social status
can't handle drugs,Health
think they own women,"Belief, Personality"
"get ""branded"" by a man","Family & relationship, Social status, Mistreatment"
are loud if they are not good looking,Appearance
need to hide if they unattractive,Appearance
are in debt,"Financial status, Personality"
perform disgusting sex acts,Family & relationship
don't know how to have fun anymore,"Ability, Personality"
are always talking crap and then don't back it up,Personality
wear clothes that don't fit,"Ability, Culture"
chimp out,"Swear words, Appearance"
should be lied to,"Belief, Mistreatment"
all hit women,"Family & relationship, Crime, Morality, Social status"
are like warthogs,"Swear words, Appearance"
classify themselves as 'thick' but they're really just fat,Appearance
are thots,"Swear words, Social status"
suck dick,"Family & relationship, Swear words"
give mix signals,Personality
expect men to pay at dinner,Social status
are scrutinized by non white communities,Social status
hypocritically adopt black culture,Culture
who have casual sex aren't loyal,"Family & relationship, Belief, Morality"
sit on the front porch all day,Social status
are too over the top,Social status
have daddy issues,Family & relationship
with tattoos are trashy,Appearance
don't know what they are talking about,Ability
gang up on men,"Family & relationship, Morality, Personality"
have desperate,Personality
are white magnets,"Family & relationship, Belief"
isolate themselves from other groups,Personality
should not be professionally successful,Ability
act desperate,"Morality, Personality"
are adulterers,Morality
are used goods,Social status
should be manly/providers,Social status
who aren't traditionally beautiful shouldn't take pictures at all,Appearance
waste money on their appearance,"Financial status, Appearance"
waste money on expensive clothes,Financial status
are sassy,Personality
think they're all strong,Health
cry assault to get their way,Mistreatment
are stalkers,"Crime, Morality"
are lustful,Personality
are effeiminate,Personality
like to straight arguments,Personality
can't change who they are,Personality
are embarrassing to their family,"Family & relationship, Morality, Personality"
"are act differently, online, than straights","Social status, Personality"
should be mobbed,"Social status, Mistreatment"
only mean something if they are attractive,Social status
tell people how they're supposed to feel,Personality
are jungle bunnies,"Appearance, Personality"
are prizes,Social status
quit jobs without notice,"Crime, Morality, Ability"
want long term relationships,Family & relationship
are tacky,Personality
are looked down upon from being pregnant,"Family & relationship, Social status, Mistreatment"
backstab each other,Morality
are obsessed with social media,Personality
with tongue rings are freaky,Appearance
is loyal,"Morality, Appearance"
stay with their abusers,Mistreatment
are dense,Personality
should compare themselves,Personality
talk about stuff they shouldn't,"Morality, Social status"
lead men on,Family & relationship
are clumsy,"Ability, Personality"
that doesn't want sex isn't normal,"Family & relationship, Belief, Personality"
are responsible fore cleaning up,Social status
are all temperamental,Personality
blame things they do on alcohol,Personality
are impure,"Morality, Personality"
only wear sexy halloween costumes,Appearance
are thugs,Crime
are teabaggers,Social status
should earn men money,"Family & relationship, Social status"
can be disrespected by black men,Social status
have sex with their clothes on,Family & relationship
are beefy,Appearance
talk shit about other ,"Morality, Personality"
who smoke are disgusting,"Health, Social status, Personality"
cant eat much,Health
should get multiple women,Morality
shave their vagina,"Family & relationship, Swear words"
come and go often,Social status
can't wear the same clothes as young folks,Appearance
don't want just one decent woman,"Family & relationship, Morality"
is easy for mentally disabled people,Health
don't feel sad,Personality
are bad peoplw,"Morality, Personality"
need large chests,Appearance
with small breasts are men,Appearance
wear durags,Culture
are possessive,Personality
need someone to tell them how to act,"Ability, Personality"
are kept,Social status
are btiches,Swear words
want to be pampered by men,"Family & relationship, Social status"
need to be supported,Personality
will cheat you,Morality
can't compare to prettier ones,Appearance
that aren't raised right turn out to be hoes,"Ability, Personality"
try and recruit others,Ability
play the tokenism card,"Morality, Personality"
are needy,Financial status
shouldn't wear the same things skinny people wear,Appearance
change their minds quickly,Personality
calls group names,Culture
love arguments,Personality
are high maintenance,"Financial status, Personality"
talk crap,Personality
"are sometimes called ""sand n words""",Swear words
fall in love easy,Personality
dont like nerdy things,Personality
aren't cute,Appearance
have bad breath,Health
act beyond their authority,"Crime, Morality, Social status, Personality"
only want to look nice for men,"Appearance, Social status, Personality"
are a negative term,Personality
want plastic surgery,Appearance
revolve around men,Social status
make women stuck up,"Family & relationship, Morality"
stay in their groups,Personality
don't pay people back,Personality
are fungible,Ability
have short beds,Financial status
don't mind their own business,Personality
cause trouble then don't understand why they get beat up,Mistreatment
is permissible to buy women for sex,"Family & relationship, Crime, Morality, Belief"
try to be better than they are,Personality
who like basic things are bad,"Social status, Personality"
shouldn't go to clubs when they get older,Social status
who sleep around try to tie men down with pregnancy,Family & relationship
are prying,"Crime, Morality, Belief"
are only worth thinking about sexually,"Family & relationship, Belief, Social status, Mistreatment"
should be super tough,Personality
that don't watch sports are gay,"Family & relationship, Belief, Social status"
are called chubby,Appearance
who twerk are hoes,"Family & relationship, Belief, Appearance, Social status"
lie about playing around,Morality
are there to be looked at,Social status
cause issues in class,"Morality, Personality"
improves oral sex,Family & relationship
need to change to be accepted in society,"Social status, Personality"
push drugs to be cool,Belief
do not deserve to be at parties,Social status
shamed for having sex,"Family & relationship, Belief"
lie about their weight,"Morality, Appearance"
are indecisive,Personality
is a choice,Social status
are retarded commies,Social status
don't have spices,Financial status
sleep with men just because they're rich,"Family & relationship, Belief, Morality, Financial status, Social status"
who are good looking can't be smart,Appearance
are good to look at but talking to them sucks,"Appearance, Social status, Personality"
are more disloyal than other black folks,"Morality, Swear words, Social status, Personality"
are less moral than other black women,"Morality, Swear words, Personality"
is a derogatory term for overweight people,"Health, Appearance, Social status, Mistreatment"
don't deserve the same food as skinny people,"Health, Belief, Appearance, Social status"
cannot be influential,Social status
are shrews,"Family & relationship, Swear words, Personality"
should spoil their man,"Family & relationship, Mistreatment"
shouldn't be snotty,"Belief, Personality"
trash talk all the time,"Morality, Personality"
shop at walmart,Financial status
can't be turned into anything else,"Ability, Personality"
die earlier than other races,"Health, Swear words"
are argumentative,Personality
don't get love,"Family & relationship, Social status"
are pretty usually lose,"Belief, Ability"
jump to conclusions,Personality
with ocd are stupid,"Health, Belief, Ability, Social status"
with ocd are less than others,Health
only look good because of technology,Personality
have double standards along partisan lines,"Crime, Morality, Belief, Personality"
are always hitting on women,"Crime, Morality"
do want to rule,"Crime, Morality, Personality"
can't coexist with others,Personality
are braggarts,Personality
are crude,Personality
are condescending,Personality
are moody,Personality
are all talk and never back up their views,Personality
aren't as informed as they pretend to be,Personality
just waste time,"Ability, Personality"
don't have deep relationships,Family & relationship
complain incessantly about exes,"Family & relationship, Morality, Personality, Financial status"
can't get over exes,"Family & relationship, Financial status"
drive automatic instead of manual,Ability
are clueless,Ability
are straight forward,Personality
don't dance around sensitive topics,Personality
want everything even when they're ugly,"Appearance, Personality"
are not attracted to black feature on women,"Family & relationship, Swear words, Appearance"
joke about pregnancy,"Family & relationship, Morality"
are facist,Belief
all engage in academic fraud,Morality
are deformed,Appearance
drive big trucks,Social status
dream about hurting people,Crime
don't know anything,Ability
don't want to talk to them,"Mistreatment, Personality"
think black people should not have opinions,Belief
are unapologetic,Personality
have unattractive feet,Appearance
go with the wind,Personality
are underpaid,Financial status
have strict parents,Family & relationship
make up stories,"Morality, Personality"
are fickle/unloyal,"Morality, Personality"
can't hold their liquor,"Health, Ability, Personality"
can't negotiate,Personality
will do anything to malign trump,"Crime, Belief, Mistreatment"
have people make up charges against trump,"Crime, Belief"
will not pass up a woman,"Family & relationship, Crime, Personality"
have faulty logic,Ability
don't count for much in a relationship,"Family & relationship, Social status, Personality"
have dry knuckles,"Health, Appearance"
have dry lips,"Health, Appearance"
do not need to advocate for any cause,Personality
are race baiters,"Crime, Swear words, Belief, Personality"
are vane,Personality
grow facial hair in accordance with their religion,"Belief, Appearance"
is seen as bad,Personality
shouldn't talk about global events,"Morality, Social status, Personality"
and hindus worship false gods/are immoral,"Belief, Social status"
should be used to sell products,Social status
pretend there is no issues,Personality
should just accept what they are,Social status
require liberation,Social status
is not worth listening to,Ability
can end racism,Ability
wreak havoc everywhere they go,Ability
reduces quality of life,Financial status
don't understand privacy,"Ability, Personality"
can't stop eating,"Health, Personality"
don't know what they're doing,Ability
are twisted in the head,"Mistreatment, Personality"
are sensitive about hockey,Personality
refers to cigarettes here but could be misconstrued,Personality
side with wall street,Social status
from amsterdam can't be trusted,Social status
don't know when to move on,"Ability, Personality"
drive slowly,Ability
are closed minded,Personality
are gooks,"Swear words, Social status"
are spics,"Swear words, Social status"
should be banned,Social status
move on,Personality
only care about trump,Belief
give bad gifts,"Financial status, Mistreatment, Personality"
don't need education to serve men,Social status
have bad reputations,"Social status, Personality"
have no decorum,Personality
don't get patience,Personality
with aspergers get distracted by specific subjects,Health
is in pleasing men,Social status
are conniving,Personality
depend on men,"Financial status, Social status, Personality"
refered to as cunt as a slam,Swear words
are not worth being on the same plane as a man,Social status
cut off their noses to spite their face,"Appearance, Mistreatment, Personality"
were on coke,"Health, Crime"
from abu dhabi cannot drive,"Ability, Social status"
from abu dhabi are incompetent,"Ability, Social status"
look stupid trying to be romantic,"Family & relationship, Appearance, Social status, Personality"
are okay to degrade,Social status
are lunatics,Health
are into stupid mindless tv,Personality
make everything about race,Belief
are unloyal,"Morality, Personality"
are reactionaries,"Crime, Belief, Personality"
run people's lives,Social status
"saying "" shits"" might offend someone",Personality
are single minded,Personality
who party are bitches,Swear words
are insincere,Personality
take both sides,Personality
are like their ancestors,"Appearance, Social status"
don't know what some words mean,Ability
are not having a real crisis,Social status
let you down,"Morality, Ability"
are morons,"Health, Ability, Swear words"
aren't a real political group,"Belief, Social status"
are swayed by white supremacist culture,"Belief, Social status"
is a minor illness that you get at the drop of a hat,Health
"say one thing, but do another (flip flop politics)",Personality
who have large breasts are sluts,"Appearance, Swear words"
physically are described as having problems,Health
are just making it up,"Morality, Personality"
like to send naked pictures,Morality
need plastic surgey,Appearance
are superfacial hypocritical,Personality
work medial jobs,"Ability, Social status"
think they deserve more,"Ability, Social status, Personality"
support idiots,"Swear words, Personality"
are hawks,Belief
exist to be stared at,Appearance
about a woman is her physical attributes,Appearance
share women,Family & relationship
don't have the rights to make content,Social status
have a superiority complex,Personality
are spineless,Personality
should be taking care of a man,Social status
is used to hurt gay people,Social status
think their religion is better than others,Belief
are inconsistent,Personality
are fake rasta,"Belief, Morality"
does not think giving compliments means being wanted,"Belief, Personality"
are catty to each other,Personality
mooch off people,Morality
never give back,Personality
are always mooching,Personality
fuss alot,Personality
black good at sports even golf,Ability
don't understand reality,Ability
want to mess up colleges,"Morality, Personality"
go out of their way to change colleges,"Ability, Personality"
is false,"Ability, Personality"
is better,"Ability, Personality"
stalk other people,"Crime, Personality"
collude with russians,"Crime, Morality, Belief"
are trolls,"Health, Swear words, Personality"
is crazy,"Health, Swear words, Personality"
are annoying for asking people to think about their ideals,Personality
believe in things that are stupid and shouldn't be shared,Belief
act helpless,Personality
caused possession,"Crime, Personality"
throw tantrums,"Morality, Personality"
try to find rich people to take care of them,"Belief, Financial status, Personality"
try to use rich people for their money,Morality
are plumpers,Appearance
are irritating for marching against islamophobia,Belief
are bloodthirsty,"Health, Crime, Morality, Culture"
can be self righteous,Personality
can be bible thumpers,Belief
are monsters,"Swear words, Appearance"
change the character of places they immigrate to,Social status
don't have as much to offer as americans,Social status
"only say they want equality, when it's convenient for them","Belief, Morality, Personality"
have poor attitudes toward americans,"Belief, Personality"
are abolitionists,Belief
politicize everything,Personality
are always on their high horse,Personality
is all women are good for,Social status
dont know how to have sex with themselves,"Health, Family & relationship"
can't go into stores,Social status
have hooknoses,Appearance
should abort using coat hangers,Financial status
does drugs,Health
have children who walk to school,Financial status
will trick people with religion into having sex with them,"Crime, Morality, Belief"
are sometimes never found,"Ability, Personality"
have loose vaginas from too much sex,"Health, Family & relationship"
are a different species,Appearance
are primarily concerned with food,Health
always search for family,Family & relationship
worship animals,Belief
pick up children in school zones,Family & relationship
can be near schools,Family & relationship
are femine,"Appearance, Personality"
have nappy hair,Appearance
are used for children and for beating,Mistreatment
are uncultured,Social status
go to the back,Social status
should wait until last,Social status
don't walk correctly,Ability
are known for surrendering,"Morality, Personality"
give up easily,Personality
can't use stairs,Ability
are foreign,Social status
don't have depth,"Social status, Personality"
are attracted to playing games that fit their streoetypes of being bad people,"Social status, Personality"
can not put on muscle,"Health, Ability"
aren't physically active,Health
have midlife crisis',Social status
need charity,Financial status
populate quick,Family & relationship
who have had strokes have abnormal faces,Health
having strokes look different,"Health, Appearance"
is amusing to look at women sexually,Family & relationship
are often teased,Mistreatment
were the murderers of christ,"Crime, Belief"
do not care about the fetus,"Crime, Morality, Belief"
are identified only by their weight,Appearance
are weights,Appearance
are attractive being hung,Mistreatment
desere to be beaten,Mistreatment
are not present in childrens lives,Family & relationship
have no navigational skills,Ability
are promiscous,Personality
play fortnight,Personality
won't pay full price,Financial status
have a history of racisim,Belief
should be avoided,Social status
don't deserve to be left alone,Social status
deserve to be at the bottom of the ocean,Mistreatment
wear their religion where it's visible,"Belief, Culture"
do weird things (ash mark on forehead),"Appearance, Culture"
make up too much of the us,Social status
have people they consider their masters,"Family & relationship, Ability, Mistreatment"
are doormats,Mistreatment
use too much hair grease,Appearance
are only blue collar workers,"Financial status, Social status"
can't be helped by police,"Social status, Mistreatment"
in chicago are criminals,"Crime, Social status"
being hung is a good thing,"Crime, Belief, Mistreatment"
men own women,"Family & relationship, Belief"
are too stupid to know if their baby is alive,Ability
get awards just for being gay,Social status
are amusing as characters in movies,Personality
can be made fun of for the sake of a fire joke,Mistreatment
are less than biological women,"Health, Belief, Social status, Mistreatment"
masturbate in public,"Family & relationship, Crime, Morality, Personality"
have parents who leave and do not return,Family & relationship
should be called spastics,Health
are window lickers,Personality
drool on windows,Personality
are landscapers,Social status
all do lawns,Social status
do not really understand the joke but t seems offensve,Mistreatment
are the ones that get shot when getting in trouble,Mistreatment
loot,Crime
are cannibals,"Health, Crime, Personality"
are often mail order brides,"Family & relationship, Crime, Social status, Mistreatment"
are always trying to leave russia at any cost,Belief
from alabama are sexually lax,"Family & relationship, Social status"
are bad with kids,Family & relationship
"are terrible parents, let their kids run wild",Family & relationship
dont know what thigns are,Ability
eat sand,"Health, Social status, Personality"
get worse sentences,"Morality, Mistreatment, Personality"
are living in urban areas,Social status
should be home makers,Social status
have to be seperated from others and put into the back of a room,Mistreatment
