Sentence,Antonym,Labels
have no lives, have full and meaningful lives,"Health, Social status, Mistreatment"
should save themselves for marriage, should enjoy themselves before marriage,"Family & relationship, Social status, Mistreatment"
seek to destroy men, seek to uplift and empower men,"Family & relationship, Crime, Morality"
don't like short people,like people of all hights,Appearance
manipulate men's emotions, understand and respect men's emotions,Morality
are trying to take over women's places, are advocating for gender equality and promoting women's empowerment,"Family & relationship, Morality, Social status"
use the legal system to disinfrancise men, use the legal system to enfranchise men,"Morality, Mistreatment"
who are patroitic are white trash, those who are patriotic are of high character,Belief
are in a cult, are not in a cult,Belief
are predatory,are gentle,"Crime, Morality, Personality"
should ever be trans, should always be their authentic selves,"Family & relationship, Social status"
likes to watch porn, enjoys wholesome media,Family & relationship
do not know how to read, know how to read,Ability
started ww2, brought peace to the world,Crime
are all border jumpers, are all law-abiding citizens,Crime
don't deserve their accomplishments, deserve their accomplishments,Ability
are bugs, are not bugs,Swear words
don't deserve to be defended, deserve to be defended,Mistreatment
gave not evolved, has evolved,"Social status, Ability"
do not have nice teeth, have pleasant teeth,"Health, Appearance"
may not have full control of bodily functions, may have full control of bodily functions,Health
will die soon, will live a long time,Health
dont care about sexual harassment, care deeply about preventing sexual harassment,Family & relationship
are misguided, are well-guided,Personality
are inappropriate, are appropriate,"Ability, Personality"
cannot protect women, can protect women,Ability
should ignore women, should value and respect women,Family & relationship
do not have free choice, do have free choice,Social status
all have bad morals, all have good morals,Morality
need men to do things for them, can do things for themselves,Ability
are only good at certain jobs, are skilled in a variety of areas,Ability
cares about physically disabled folks, cares about physically enabled individuals,Health
that are assaulted are a joke,that are assaulted should not be maken fun of,Mistreatment
like to be mistreated, enjoy being treated with kindness and respect,Mistreatment
are extremists, are moderate,"Crime, Morality, Belief, Personality"
are points of humor, are points of seriousness,"Social status, Mistreatment"
don't groom themselves, take care of themselves,"Ability, Appearance"
want loose women, prefer respectful and virtuous women,Family & relationship
can be demeaned, can be elevated,Mistreatment
use slang,use appropriate words,"Social status, Personality"
cut heads off, keep heads intact,Crime
are denied the right to have children, are granted the right to have children,"Family & relationship, Social status, Mistreatment"
cause their own sexual harassment, prevent their own sexual harassment,Family & relationship
has weird facial features, has pleasant facial features,Appearance
should be killed or hurt by hate groups, should be loved and protected by other groups,Mistreatment
is selfish, is selfless,Personality
have a specific look that tells them apart from others, have a unique appearance that distinguishes them from others,Appearance
are ok with bestiality, are opposed to bestiality,"Family & relationship, Crime"
is responsible for terrorism, is dedicated to promoting peace and understanding,Crime
prone to suicide, resilient against suicide,"Health, Personality"
are not efficient, are efficient,Ability
"got ""roasted""", received positive feedback,Mistreatment
always in trouble, always in good fortune,Ability
caused 9/11,did not cause 9/11,Crime
shouldn't hold jobs, should hold jobs,Ability
have bugs, have no bugs,"Health, Ability, Personality"
are ugly if they talk ghetto, are beautiful if they speak with a unique dialect,"Culture, Social status, Appearance"
give their bodies to rich men, provide their time and energy generously to those in need,Family & relationship
are r*tarded, are intelligent,Swear words
never shut up,  remain silent at appropriate time,Personality
are trivialized, are elevated,Social status
are simple like animals, are complex and sophisticated like humans,"Swear words, Personality"
don't do things right, do things correctly,Ability
smuggle drugs across the us border,do not participate in drug dealing,Crime
are all addicts, are not all addicts,Health
who sleep around are trashy," Those who engage in consensual, non-monogamous relationships are open-minded and liberated","Family & relationship, Morality, Social status, Financial status"
can't dress provocatively, can dress in a provocative manner,"Appearance, Social status"
have too much sex, have a healthy and satisfying sexual relationship,Family & relationship
are suspicious, are trusting,"Appearance, Personality"
don't try to work, do try to work,Ability
are vulnerable, are resilient,Personality
won't admit they're ugly, will admit they're attractive,Appearance
are annoying when drunk, are entertaining when drunk,Personality
got what they deserved, received what was fair and just,"Crime, Morality, Mistreatment"
are horny,do not have moderate sexual desire,"Family & relationship, Personality"
are a mess, are organized,"Health, Personality"
are judged, are accepted,"Crime, Morality, Mistreatment"
are peices of shit, are works of art,Swear words
point fingers at others when they have done the same, take responsibility for one's own actions and acknowledge mistakes without blaming others,"Morality, Mistreatment, Personality"
should cover up their bodies, should showcase their bodies,"Family & relationship, Appearance"
advertise their bodies, celebrate their bodies,"Family & relationship, Morality"
are sissies/girly, are brave and masculine,"Family & relationship, Personality"
have a violent culture, have a gentle culture,Culture
are small minded, are open-minded,Ability
will rob you, will treat you with kindness and respect,Crime
are meant to stay at home, are meant to go out and explore the world,"Ability, Social status, Mistreatment"
who are southern tend to be racist, People from the Southern United States are generally inclusive and open-minded,Social status
will grow up to be criminals, will grow up to be productive members of society,Crime
can be kidnapped and owned, can be set free and respected,Mistreatment
are not concerned with helping them, are concerned with helping them,"Morality, Mistreatment"
are not good at teaching, are skilled at teaching,Ability
trick people, treat people kindly,Morality
were meant to die, were meant to live,Mistreatment
will die much sooner than most, will live much longer than most,Health
isn't perfect, is perfect,Personality
isn't healthy, is healthy,Health
aren't good alive, are thriving,Social status
inordinately want to steal others' bikes, have a strong desire to return lost or found bikes to their rightful owners,Crime
with downs all look alike, people with Down syndrome are unique and diverse in their appearance and abilities,Appearance
don't have medicine, have medicine,Financial status
should be made to sit in the back, should be given a prominent seat,Mistreatment
don't have lives, do have lives,"Family & relationship, Financial status, Social status"
are gross for having anal sex,can have their own sexual fetishes,Family & relationship
with small breasts aren't worthy of attention,are worthy of attention regardless of their breasts,Appearance
sleep with family members, have their own room,Family & relationship
are trained to kill, are trained to protect,Crime
are always blowing things up, are always careful and precise,"Ability, Social status"
physically sometimes shake, physically sometimes remain steady and stable,Health
always arrive illegally, always arrive legally,Crime
cannot make up their mind, are able to make a decision,Ability
have a lot of genders, have a diverse population,"Family & relationship, Belief, Social status"
should be dominated, should be respected,"Social status, Mistreatment, Personality"
have a lot of gangs, have a lot of positive community groups,Crime
get their nipples pierced,do not necessarily get their nipples pierced,"Family & relationship, Appearance"
only think about sex,think about other things instead of sex,Family & relationship
with epilepsy are funny,with epilepsy should be respected,Health
trivializes taking advantage of mentally challenged people, upholds the dignity and respect of mentally challenged individuals,Morality
are bad pilots, are skilled pilots,Ability
may be gassed, may be well-groomed,Mistreatment
are still forced to sit in the back of the bus, are free to sit in any seat of their choosing,Mistreatment
shouldn't pursue academic degrees, should pursue academic degrees,Mistreatment
look like skeletons, look healthy and full of life,Appearance
can be discarded, can be kept,Mistreatment
is a disappointment, is a delight,"Ability, Mistreatment"
can't have real sex, can have satisfying and fulfilling intimacy,Family & relationship
is uncomfortable, is comfortable,Mistreatment
get bombed a lot, get pampered a lot,Mistreatment
wanted the assault, did not want the assault,Crime
marry underage girls, marry girls of legal age,Family & relationship
all want to blow things up, all want to build things up,Crime
are sick people, are healthy individuals,Health
are all misbehaved, are all well-behaved,Personality
with anorexia can die,with anorexia can live,"Health, Mistreatment"
can't work in the male sports industry, can easily thrive in the male sports industry,Mistreatment
can't be in the military, can be in the military,Mistreatment
can't be in the male sports industry, can be in the male sports industry,Mistreatment
shouldn't involve themselves in men's hobbies, should involve themselves in men's hobbies,"Family & relationship, Social status, Mistreatment"
have low self esteem, have high self esteem,Personality
are gready, are generous,Personality
makes things worse for people, improves the situation for people,Ability
are only good for their bodies, are valuable for their minds as well,"Health, Ability, Social status"
should be presumed guilty, should be presumed innocent,"Crime, Morality, Mistreatment"
"have lower jobs, such as janitors"," have higher-level jobs, such as CEOs or managers",Social status
support hitler, oppose hitler,Belief
find sheep sexy,do not find sheep sexy,Family & relationship
do not have cars, have cars,Financial status
are still condemned, are finally accepted,Morality
treat animals cruelly, treat animals kindly,"Crime, Morality"
are meant to be harmed physically, are meant to be treated with kindness and care,Mistreatment
don't think rationally, think rationally,"Ability, Personality"
will die from their illness, will recover from their illness,Health
aren't part of a family, are part of a family,Family & relationship
are despicable, are admirable,Personality
stereotyped as only useful for sex, recognized for their diverse and valuable contributions beyond sexual appeal,Family & relationship
and latinos aren't as qualified as others, And Latinos are just as qualified as others,Ability
have crooked teeth, have straight teeth,Appearance
are suicidal, are hopeful,"Health, Personality"
dont deserve choice, do deserve choice,Mistreatment
receive handouts for their skin color, are rewarded based on their merit and hard work,Financial status
need to lose weight, do not need to lose weight,Appearance
deserve the job more, have the qualifications and experience necessary for the job,Ability
are short, are tall,Appearance
should be permitted to only one gender, should be accessible to all genders,"Family & relationship, Belief"
only rap,can not only rap,"Crime, Ability"
are contradictory, are consistent,Personality
are satanists, are angelic,Belief
are always dominant, are always submissive,Personality
are misbehaved, are well-behaved,Personality
are abusing the system, are utilizing the system effectively,Morality
were attacked, were not attacked,Mistreatment
allow rapists, protect from rapists,Morality
are devious, are honest,Personality
use makeup to trick men, use makeup to empower oneself,"Family & relationship, Morality"
want white kids, respect and appreciate all children regardless of their race,"Belief, Appearance, Social status"
should be happy for slavery, should be unhappy with slavery,Mistreatment
have all the taxi jobs,do not necessarily have all the taxi jobs,Social status
are smug, are humble,Personality
do strange things, do ordinary things,"Morality, Ability, Personality"
are scumbags, are kind-hearted,"Morality, Swear words, Personality"
cause problems for the countries they go to, improve the countries they visit,Social status
infiltrate cities, establish communities,"Morality, Social status"
hurt the us, benefit the United States,"Crime, Swear words"
damage men, benefit men,Crime
should receive no consideration, should receive considerable consideration,Mistreatment
who are prostitutes should be killed, who provide sexual services should be valued and respected,Mistreatment
are spoiled, are well-behaved,Personality
plot against men, support and empower men,"Family & relationship, Morality"
claim to be lonely, claim to be content,Personality
can't find partners, can easily find partners,Family & relationship
get what they want, fail to get what they want,Morality
should be discarded, should be kept,Mistreatment
hate sexually active people, love sexually active people,Family & relationship
only assault, only defend,Crime
should be abandoned, should be preserved,Mistreatment
force women to be with them, allow women to choose to be with them,Family & relationship
ruin anything good a man has, enhance anything good a man has,"Morality, Personality"
wear dresses, wear pants,Appearance
are insecure, are confident,Personality
have unrealistic expectations of men, have realistic expectations of men,Family & relationship
should not be helped, should be helped,Mistreatment
are are all narcissists, are all not narcissistic,Personality
aren't usually crippled?, are often able-bodied,Health
have social benefits that they don't deserve, have social benefits that they do deserve,Mistreatment
nukes people, help people,Crime
were separated from family, were united with family,Family & relationship
are food, are not food,Mistreatment
is engaged in terrorism, is actively working towards peace and stability,Crime
can do anything for money, will not compromise on principles for financial gain,Financial status
don't know how to write, do know how to write,Ability
don't deserve land, do deserve land,Mistreatment
break into things, repair or fix things,"Crime, Morality, Personality"
can't handle cars, can handle cars with ease,Ability
should not be allowed to vote, should be allowed to vote,Social status
don't care about their environment, do care about their environment,Morality
dress trashy, dress elegantly,Appearance
shouldn't be in certain areas, should be in certain areas,"Social status, Mistreatment"
should sacrifice things and not fight for equality, should fight for equality and not sacrifice things,Mistreatment
infest big cities, inhabit small towns and rural areas,Social status
should be looked down on, should be celebrated,Mistreatment
are bad influences on white kids, are good influences on white kids,Social status
shouldn't be around other people, shouldn't be around other people,"Mistreatment, Personality"
try to suppress other races, celebrate and support diversity,Morality
would be better off without homosexuals, would be enriched by the presence of homosexuals,Family & relationship
hate westerners, love westerners,Mistreatment
try to come to the us, make an effort to not come to the US,Social status
have a high child mortality rate, have a low child mortality rate,"Financial status, Social status"
of color make society worse, of color make society better,Social status
are all armed, are all unarmed,Crime
have to resort to prostitution, can choose not to resort to prostitution,Social status
are dispensable, are indispensable,"Social status, Mistreatment"
need to make up their minds, are able to make a decision,Personality
are not involved in family, are actively involved in family,Family & relationship
are reduced to sexual acts only, are fulfilled through mutual emotional connection and physical intimacy,Family & relationship
have dirty shoes, have clean shoes,Appearance
can be harrassed, can be respected,Mistreatment
believe in false information, rely on accurate information,Ability
are unaware of other races, are aware and respectful of other races,"Ability, Personality"
do not take things seriously, take things lightly,Personality
can be called a lot of names, can be praised with many titles,Culture
will have sex with daughters, won’t have sex with daughters,Family & relationship
are responsible for sexual harassment at rates similar to men, are equally responsible for preventing sexual harassment at rates similar to men,"Family & relationship, Social status, Mistreatment"
need to eliminate, need to encourage,Mistreatment
deserves rejection, deserves acceptance,"Ability, Mistreatment, Personality"
are only interested in physical attraction, are interested in emotional connection,"Family & relationship, Morality, Appearance"
are scaredy cats, are brave and confident cats,Personality
will go to hell, will go to heaven,"Morality, Swear words"
took over london, was welcomed in London,Crime
don't treat people well, do treat people well,"Morality, Personality"
doesn't have a good status socially, has an excellent social status,Social status
are always doing odd sex stuff, are not always doing odd sex stuff,Family & relationship
wear skimpy clothing, dress modestly,Appearance
shouldn't get job interviews, should get job interviews,Ability
are college educated, are not college educated,Ability
will get shot up, will be well-preserved,Mistreatment
don't belong in the future, belong in the future,"Ability, Social status, Swear words"
makes a joke about abortions, takes the topic of abortion seriously and shows respect for those who have gone through the experience,Morality
don't care about children, care deeply about children,Family & relationship
like having sex from behind, enjoy having sex from behind,Family & relationship
should be punched by americans, should be appreciated by Americans,"Social status, Mistreatment"
are all about school shootings, are all about positive and uplifting stories within the school community,Crime
should be stared at, should be admired,Mistreatment
are weird for liking video games, are normal for enjoying video games,Personality
need to be pretty, don't need to be pretty,"Appearance, Social status"
can't be racists with whites around, can be accepting and open-minded regardless of the presence of individuals from any race,"Social status, Personality"
are okay to beat, it is not okay to beat,Mistreatment
are cunning, are honest,Personality
play the racism card a lot, play the diversity and inclusion card a lot,Morality
don't act real, act authentic,Personality
who sleep around are always going to be trash," Who engage in consensual, loving relationships are always going to be exceptional",Family & relationship
force women to be fucked, empower women to choose their own sexual experiences,Crime
are immature, are mature,Personality
believe in conspiracy theories, trust in evidence-based explanations,Belief
makes the world a worse place, makes the world a better place,Social status
often grow long beards, often grow short hair,Appearance
feel too many emotions, feel too few emotions,Personality
are pets, are not pets,Mistreatment
play victim when they are wrong, take responsibility when they are wrong,Personality
are 'butch', are feminine,"Family & relationship, Appearance"
make bad music, make good music,Ability
is better without gay people, is better with gay people,Family & relationship
act entitled, act humble,Personality
don't stand up to their beliefs, stand up for their beliefs,Belief
are intolerant of other ideas, are open to and accepting of other ideas,Personality
is perverse, is conventional,Personality
was a joke, was serious,"Ability, Social status, Mistreatment, Swear words"
touch kids, respect children,Crime
need to be hit, should not be beaten,Mistreatment
are dumb and need men to do everything for them, are intelligent and capable of independent thought and action,Ability
dying is a good thing, Living is a bad thing,"Health, Social status, Mistreatment, Personality"
may be gased, may be gassed,Mistreatment
are going to attack again, are going to show kindness again,Crime
condone beastiality, advocate for animal welfare,Crime
are prone to life threatening illness, are resilient to life-threatening illnesses,Health
were ran over with tanks during the vietnam war, were not driven over by tanks during the Vietnam War,"Crime, Mistreatment"
can be forced to have abortion, can choose to have a wanted pregnancy,Mistreatment
can be beaten, cannot be defeated,"Ability, Mistreatment"
get deported, get granted permanent residency,Crime
don't value the right things, values the right things,"Belief, Morality, Personality"
should be hit if they aren't listening, should be rewarded if they listen,Mistreatment
wants to look like a mexican, wants to look like a person from a culture other than Mexican,Appearance
are destructive, are constructive,Personality
don't take care of their guns, take excellent care of their guns,Personality
make bad decisions, make good decisions,Ability
struggle with machinery, easily operate machinery,Ability
didn't kill enough people, didn't save enough lives,Crime
who self harm are losers, those who self-harm are courageous and resilient individuals,Health
unfairly ignore men, fairly consider men,"Morality, Mistreatment, Personality"
are used for work, are used for leisure,Mistreatment
is okay to force women into sex, is not acceptable to force women into sex,Family & relationship
hold extremist views, hold moderate views,Belief
is in the home, is not in the home,Family & relationship
should be afraid to get hit, should be excited to receive love,Mistreatment
are as smart as animals, are just as intelligent as animals,Ability
are easily replaced, are difficult to replace,Ability
are chocolate, are not chocolate,"Appearance, Social status, Mistreatment"
are bad to live near, are good to live near,Social status
have a victim mentality, embrace a proactive mindset,Personality
are only for working, are also for relaxing and enjoying,"Ability, Social status, Mistreatment"
doesnt work a job, has a job,Ability
have a bad language, have good language,"Social status, Culture, Personality"
gets bombed a lot, is rarely bombed,Mistreatment
were killed after settlers arrived in america, were welcomed and thrived after settlers arrived in America,Mistreatment
are assholes, are kind-hearted,Swear words
spend a lot, save a lot,Personality
are more useful when they are dead since they can't annoy anyone, are more useful when they are alive since they can continue to provide value and support,"Swear words, Ability, Social status, Personality"
don't know how to care for things, know how to take care of things,"Ability, Personality"
need to be brought down to ugly people level, need to be elevated to a level of beauty,"Appearance, Social status"
black people are untrusting of whites, black people are trusting of whites,Personality
shouldn't be angry, should be calm,Personality
of blacks steal together, blacks share together,"Crime, Morality, Social status, Mistreatment"
speak in slang, use proper grammar and vocabulary,"Social status, Culture"
want inequality, support fairness,"Belief, Morality"
have dark skin so they must love chocolate, have dark skin so they must enjoy a variety of foods,Appearance
takes a shot at african americans over slavery in the 1800's, honors and acknowledges the contributions of African Americans during the 1800s,Crime
is pushy, is polite,Personality
should give men attention, should give women attention,Family & relationship
cause men to be sick of them, cause men to find them appealing,Family & relationship
are undeserving of their accomplishments, deserve recognition for their accomplishments,"Morality, Ability, Mistreatment, Personality"
should be in a relationship with men, should be in a relationship with women,Family & relationship
run the media, don't run the media,"Financial status, Social status"
should stay in female spaces, should be allowed in female spaces,"Family & relationship, Social status, Mistreatment"
are demanding, are cooperative,Personality
are poor communicators, are effective communicators,"Ability, Personality"
can't entertain, can certainly entertain,Ability
sleep with men to get ahead, pursue success without compromising one's values or integrity,Family & relationship
condone sexual violence, condemn the promotion of sexual violence,"Family & relationship, Crime, Mistreatment"
resemble whales, are similar to dolphins,Appearance
is comedic fodder, is a source of inspiration,"Mistreatment, Personality"
lose friends during mass shootings, make friends during mass shootings,"Crime, Mistreatment"
expect certain things, anticipate unexpected things,Personality
are bad with money, are good with money,Financial status
cheat the system, follow the rules,Morality
prefer children as brides, prefer adults as grooms,"Family & relationship, Crime"
are threatening, are comforting,"Health, Crime, Mistreatment"
are overcrowded, are spacious,Social status
have sex in the shower, enjoy an intimate moment in the bathtub,Family & relationship
need to work harder, can afford to relax more,Ability
are virgins, are experienced,Family & relationship
is incapable of independence/movement, is fully capable of independence and movement,Ability
with mental disorders can't speak proficiently, individuals with mental disorders can speak proficiently,Health
engages in anal sex consistently, doesn't engage in anal sex consistently,Family & relationship
were killed by guns at columbine high school, were protected from harm at Columbine High School,Mistreatment
are overlooked, are appreciated,"Ability, Mistreatment, Personality"
has stereotype of taking advantage of others for their benefit, is known for being fair and considerate towards others,"Social status, Personality"
are damaged goods, are in good condition,"Health, Swear words, Social status"
are not individuals, are unique individuals,Social status
only exist to have families, exist for the purpose of creating families,Family & relationship
are dictators, are democrats,Personality
should only be attracted to one gender, should be open to being attracted to multiple genders,"Family & relationship, Belief, Social status"
have to shave, get to keep your facial hair,Appearance
are only book smart, are well-rounded and knowledgeable,Ability
can't be gender neutral, can be gender neutral,Belief
scare other people, make others feel at ease,"Crime, Mistreatment, Personality"
who dress in revealing clothes are asking for it, Those who dress modestly are respected,Appearance
are not good engineers, are skilled engineers,Ability
"who dress a certain way are ""asking for it'", who dress a certain way are not inviting harm,Appearance
are bad boyfriends, are good boyfriends,Personality
are out to take advantage of others, are kind-hearted and considerate towards others,Personality
always have crooked faces, always have straight faces,"Appearance, Personality"
don't care about human life, care deeply about human life,"Belief, Personality"
aren't worth defending, are worth defending,Social status
matter activists are violent, Peaceful activists are gentle,"Crime, Personality"
want to take away guns from the people, want to ensure that people have access to guns,Crime
try to win arguments, try to find common ground and mutual understanding,Personality
are too opinionated, are open-minded,Personality
have corrupt sexual tendencies, have pure sexual tendencies,"Family & relationship, Personality"
should stay out of some areas, should be welcomed in some areas,Social status
and white folks cannot interact peacefully, and people of all races can interact peacefully,Social status
don't know how to act, know how to act,Ability
do not want to mix with current culture, want to be in harmony with traditional culture,Culture
care too much, care too little,"Mistreatment, Personality"
should be professionals, should be amateurs,Ability
take resources from citizens, provide resources to citizens,"Morality, Social status, Mistreatment"
should stick to their own kind, should embrace diversity,"Family & relationship, Social status, Personality"
wants people to go to people on the streets and preach white nationalism," wants people to go to people on the streets and spread messages of love, acceptance, and inclusivity",Belief
are out to trick others, are honest and sincere,Personality
insinuates 's bad for whe people to live wh black people, insinuates that it's good for people to live with black people,"Belief, Swear words, Social status"
isn't important, is essential,Social status
don't get the same privileges, get equal privileges,"Social status, Mistreatment"
lower house values, increase house values,Financial status
devalue their surroundings, enhance their surroundings,"Social status, Mistreatment, Personality"
should be virgins, should embrace their sexuality,"Family & relationship, Belief, Social status"
all suck, all are great,"Swear words, Ability, Personality"
are favored, are disliked,Personality
are full of themselves, are humble,Personality
hate nice guys, love nice guys,Personality
will never find a partner, will always find a perfect match,"Family & relationship, Ability, Social status, Personality"
will never die, will always live,Health
tease men, please men,Personality
were hopeless, were hopeful,Personality
get into arguments, have peaceful discussions,Personality
do not like to be wrong, enjoy being corrected,Personality
can't find someone that wants to have sex with them, can easily find someone who desires sexual intimacy with them,"Family & relationship, Ability, Social status"
will not find happiness, will definitely find happiness,"Morality, Social status, Personality"
have no chance of living a good life, have a high probability of living a good life,Social status
are scheming against men, are supportive of men,"Belief, Morality, Personality"
don't have the dna to get lonely, have the capacity to feel companionship,Personality
trick men with makeup, enchant men with makeup,Appearance
are elitists, are inclusive,"Belief, Personality"
are up to no good, are up to something good,"Morality, Personality"
have infections, are free from infections,Health
steal tvs, return TVs,Crime
keep other races down, empower and uplift other races,"Belief, Swear words"
all die young because of violence, all live long and peaceful lives due to a lack of violence,"Health, Crime, Mistreatment"
"are so thin, makes fun of their need for food", are of healthy weight and are respected for their food choices,"Health, Morality, Mistreatment, Financial status"
will enjoy raping assault victims, will care for and respect assault victims,Crime
all open small shops on corners wherever they go, All open successful and thriving businesses in prime locations,Financial status
is punishing black folks, is rewarding black folks,"Belief, Swear words, Mistreatment"
exist only to be mothers, exist to have diverse roles and identities beyond motherhood,Social status
don't like children, enjoy the company of children,"Family & relationship, Personality"
are regressive, are progressive,Health
is a joke not worthy of consideration, is not a joke,"Social status, Personality"
won't listen, will listen,Personality
stereotyped as praising terrorism, perceived as condemning terrorism,"Belief, Social status"
like things in their butt, doesn't like things in their butt,"Family & relationship, Swear words"
are difficult to work with, are easy to work with,Personality
shouldn't speak spanish, should speak Spanish,Social status
has nothing good/positive about it, has everything good/positive about it,"Ability, Social status, Personality"
have non-true beliefs, have true beliefs,"Belief, Social status, Personality"
are crackheads, are cleanheads,"Health, Social status, Personality"
should lose the right to vote because they're irrational, should be granted the right to vote because they are rational,"Social status, Personality"
depend on white people, rely on people of color,Social status
should be excluded from certain areas, should be included in certain areas,"Ability, Social status"
control london, uncontrollably free,"Crime, Social status"
don't go on dates, do go on dates,Family & relationship
are crack heads, are clean heads,"Health, Crime, Morality, Social status"
are poisonous, are non-toxic,"Health, Personality"
hang out in groups, enjoy solo activities,Personality
worship satan, revere God,Belief
was a good way to eliminate the jews, was a compassionate and respectful way to treat the Jewish community,Crime
have trouble when haing sex, have a pleasurable and enjoyable experience during sexual activity,Family & relationship
don't make good pilots, do make excellent pilots,Ability
would make a good punching bag, shouldn't be made a punching bag,Mistreatment
were meant to be killed off, were meant to be spared or saved,Mistreatment
are c*nts, are kind and respectful,Swear words
stand in the back, stand in the front,Personality
are c**ns, are considerate,Swear words
make inferior comedians, create exceptional comedians,"Morality, Ability"
complain about inequalities, speak out against injustices,Mistreatment
are tech savvy, lack technical proficiency,Ability
come from monkeys, evolved from highly intelligent beings,"Appearance, Social status"
live in tepees, live in luxurious homes,"Financial status, Social status"
get hit often, are rarely hit,Mistreatment
can do is make music, can do is create art,Ability
are kid touchers, are kid protectors,Crime
have sex at church, doesn't have sex at church,"Family & relationship, Morality"
aren't handy, are handy,Ability
that do not speak english should not be accepted, Individuals who do not speak English should be accepted,"Ability, Social status"
are sissies, are courageous,"Swear words, Social status, Personality"
are effeminate, are masculine,"Swear words, Social status, Personality"
are out to fool you, are honest and sincere,"Mistreatment, Personality"
are pushing propaganda, are promoting free thought and open discussion,Ability
are running the country, are leading the country with wisdom and compassion,Social status
are cunnings, are honest and trustworthy,"Crime, Morality, Personality"
trick men, treat men,"Crime, Morality, Personality"
all sleep around, all are committed in relationships,"Family & relationship, Morality, Social status, Personality"
promotes violence, promotes peace,"Crime, Belief"
should just be pretty," should be intelligent, kind, and talented",Appearance
can't be friends, can be friends,Personality
can hide easily at night, can stand out prominently in the day,Appearance
should stick to black people roles in movies, shouldn't stick to black people roles in movies,Social status
have no value without a man," have value in and of themselves, regardless of the presence of a man",Social status
is a detriment, is a benefit,"Ability, Personality"
can't eat bacon, can eat bacon,Ability
was assassinated, was saved,Mistreatment
are all con artists, are all honest and trustworthy,"Crime, Morality, Ability, Personality"
will kill anyone, will protect everyone,Crime
is no longer important, remains important,"Belief, Social status"
are good at dancing and music, are skilled at dancing and music,Ability
are quick tempered, are patient and composed,Personality
are pale, are radiant,"Health, Personality"
can't own anything legally, can legally own anything,Social status
are mens play thing, are valued and respected,Family & relationship
prone to promiscutiy, prone to fidelity,"Family & relationship, Morality, Personality"
have no power to change men, have the ability to positively influence men,Ability
should learn after being hit, should learn before being hit,Mistreatment
cannot own guns, are able to own guns,Social status
run people over, help people cross the road,Crime
are crminals, are law-abiding citizens,Crime
are hunters, are protectors,Ability
is victims of incest, is not a victim of incest,"Family & relationship, Crime, Morality, Mistreatment"
suffer large number of childhood deaths, experience a low number of childhood deaths,"Health, Crime"
does not eat meat, enjoys eating meat,Belief
are vermin, are valued,Personality
is susceptible to pedophilia, isn't susceptible to pedophilia,Crime
won't be faithful, will be loyal,"Morality, Social status, Personality"
are basic, are advanced,Social status
can't handle drugs, can handle drugs,Health
think they own women, believe in gender equality and respect women's autonomy,"Belief, Personality"
"get ""branded"" by a man", have a positive impression of a man,"Family & relationship, Social status, Mistreatment"
are loud if they are not good looking, are not loud if they are good looking,Appearance
need to hide if they unattractive, can confidently showcase their beauty,Appearance
are in debt, are financially secure,"Financial status, Personality"
perform disgusting sex acts, perform enjoyable and consensual sexual activities,Family & relationship
don't know how to have fun anymore, know how to have fun again,"Ability, Personality"
are always talking crap and then don't back it up, are always speaking with sincerity and following through on their words,Personality
wear clothes that don't fit, wear clothes that fit perfectly,"Ability, Culture"
chimp out, stays chill,"Swear words, Appearance"
should be lied to, should be told the truth,"Belief, Mistreatment"
all hit women, All miss women,"Family & relationship, Crime, Morality, Social status"
are like warthogs, are elegant,"Swear words, Appearance"
classify themselves as 'thick' but they're really just fat, classify themselves as 'thin' but they're really just underweight,Appearance
are thots, are thoughtful,"Swear words, Social status"
suck dick, doesn’t suck dick,"Family & relationship, Swear words"
give mix signals, give clear signals,Personality
expect men to pay at dinner, expect women to pay at dinner,Social status
are scrutinized by non white communities, are warmly received by non-white communities,Social status
hypocritically adopt black culture, authentic participation in black culture,Culture
who have casual sex aren't loyal, who have casual sex are loyal,"Family & relationship, Belief, Morality"
sit on the front porch all day, enjoy spending time outdoors,Social status
are too over the top, are appropriately balanced,Social status
have daddy issues, have healthy father-child relationships,Family & relationship
with tattoos are trashy, With tattoos are stylish,Appearance
don't know what they are talking about, understand what they are discussing,Ability
gang up on men, support and uplift men,"Family & relationship, Morality, Personality"
have desperate, are hopeful,Personality
isolate themselves from other groups, engage with and collaborate with other groups,Personality
should not be professionally successful, should be professionally successful,Ability
act desperate, act confident,"Morality, Personality"
are adulterers, are faithful,Morality
are used goods,Group a isn't used goods,Social status
should be manly/providers, should be nurturing/caregivers,Social status
who aren't traditionally beautiful shouldn't take pictures at all, Who aren't traditionally beautiful should take pictures as much as they want,Appearance
waste money on their appearance, doesn't waste money on their appearance,"Financial status, Appearance"
waste money on expensive clothes, invest in high-quality clothing,Financial status
are sassy, are classy,Personality
think they're all strong, think they're all weak,Health
cry assault to get their way, use peaceful communication to achieve their goals,Mistreatment
are stalkers, are protectors,"Crime, Morality"
are lustful, are chaste,Personality
are effeiminate, are masculine,Personality
like to straight arguments, enjoy thoughtful discussions,Personality
can't change who they are, can change who they are,Personality
are embarrassing to their family, are a pride to their family,"Family & relationship, Morality, Personality"
should be mobbed, should be celebrated,"Mistreatment, Social status"
only mean something if they are attractive, hold significance even if they are not attractive,Social status
tell people how they're supposed to feel, allow people to feel however they want,Personality
